accuracy,brier,logloss,auc,best_iteration,num_features,train_samples,val_samples,mean_test_accuracy,mean_test_brier,mean_test_logloss,mean_test_auc,std_test_brier,min_test_brier,max_test_brier,params,config_id,brier_2022,accuracy_2022,auc_2022,brier_2023,accuracy_2023,auc_2023,brier_2024,accuracy_2024,auc_2024,brier_2025,accuracy_2025,auc_2025
0.6577415599534342,0.20824990931789103,0.6018374977653009,0.7288265025821338,146,63,3433,859,0.680485069662238,0.2064891865138539,0.5996283608714932,0.7321633671613216,0.007327523208741642,0.20145010383608347,0.21913913043887165,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.6, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",1,0.20223971450890169,0.676056338028169,0.7477822580645163,0.21913913043887165,0.6350877192982456,0.6899418954117411,0.20312779727155875,0.6877192982456141,0.7502981514609423,0.20145010383608347,0.7230769230769231,0.7406311637080868
0.6647264260768335,0.20760854572815926,0.6000578256123407,0.7304362158004615,199,63,3433,859,0.6778596681302389,0.20644160395227856,0.5992517505208551,0.7304120599549795,0.007261833457262903,0.2008443626057746,0.21891134886330282,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.6, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2,0.20250655402202117,0.6830985915492958,0.745766129032258,0.21891134886330282,0.6210526315789474,0.6898417150871569,0.20350415031801575,0.6842105263157895,0.7493540051679587,0.2008443626057746,0.7230769230769231,0.7366863905325444
0.6670547147846333,0.20786731357808574,0.600831215316006,0.73004614877486,197,63,3433,859,0.6754336070403528,0.20635216468387604,0.599170661390845,0.733978828479809,0.006457288070405258,0.20212168610057393,0.21752010267949312,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.6, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",3,0.20265725227467898,0.6866197183098591,0.7451108870967742,0.21752010267949312,0.631578947368421,0.6965037066720097,0.20310961768075822,0.6912280701754386,0.7526833631484794,0.20212168610057393,0.6923076923076923,0.7416173570019724
0.6682188591385332,0.2084406584707481,0.6022013438668483,0.7278733106252061,199,63,3433,859,0.6739980707456615,0.20694040381178289,0.6004129526566425,0.7314928621876299,0.006497226349468204,0.2020672466468957,0.21802626191343125,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.7, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",4,0.2020672466468957,0.6654929577464789,0.7468245967741935,0.21802626191343125,0.6350877192982456,0.6939741534762573,0.2050409219933607,0.6877192982456141,0.7455277280858676,0.20262718469344385,0.7076923076923077,0.7396449704142012
0.6693830034924331,0.20845418959453368,0.6022859666335176,0.7277524447862872,199,63,3433,859,0.6748783524358024,0.20644912643311863,0.5993533662056987,0.7318196810004207,0.006348820760212715,0.20207333238216882,0.2173724242293858,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",5,0.20236014784000228,0.6690140845070423,0.745413306451613,0.2173724242293858,0.6456140350877193,0.6964786615908636,0.2039906012809176,0.6771929824561403,0.7477141721327768,0.20207333238216882,0.7076923076923077,0.73767258382643
0.6612339930151339,0.2081997297730335,0.6016353287916039,0.7286644324799474,197,63,3433,859,0.683119737317291,0.20680072753765644,0.6001234422575972,0.7309515272065464,0.006255797754979141,0.2019667218907521,0.21739330699887224,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.7, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",6,0.2019667218907521,0.6795774647887324,0.746875,0.21739330699887224,0.6421052631578947,0.6979813664596275,0.20540283959446992,0.6877192982456141,0.744235738421785,0.20244004166653157,0.7230769230769231,0.7347140039447732
0.6635622817229336,0.20836150614311444,0.6019782217191763,0.7276425667509065,148,63,3433,859,0.6860886981809887,0.20707361489580248,0.6008323633515124,0.7297980078784105,0.006450480671199037,0.20177800479846822,0.2180900005929645,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.8, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",7,0.20363576424226368,0.6795774647887324,0.7399193548387096,0.2180900005929645,0.6350877192982456,0.6953766780204369,0.2047906899495136,0.6912280701754386,0.746223414828066,0.20177800479846822,0.7384615384615385,0.73767258382643
0.6612339930151339,0.20833274375698066,0.6019780431017546,0.7281534996154269,162,63,3433,859,0.6775161087985403,0.20635128806570838,0.5993078108053522,0.7324542418437362,0.006812490718876406,0.20051391467733912,0.21789293470315682,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",8,0.20247782452238575,0.676056338028169,0.7449092741935485,0.21789293470315682,0.6385964912280702,0.6964285714285715,0.20452047835995177,0.6877192982456141,0.7458755714569668,0.20051391467733912,0.7076923076923077,0.742603550295858
0.6612339930151339,0.20791341035541838,0.6010455926604146,0.7294720360399957,192,63,3433,859,0.6792766721788219,0.20654602789974255,0.599674044201104,0.7323133467051486,0.006227754628780375,0.2017999760483161,0.2172149723428588,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.8, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",9,0.2027946452671892,0.6830985915492958,0.7443044354838709,0.2172149723428588,0.6385964912280702,0.7011370466840312,0.20437451794060604,0.6877192982456141,0.7481117074140331,0.2017999760483161,0.7076923076923077,0.7357001972386588
0.6577415599534342,0.20824990931789103,0.6018374977653009,0.7288265025821338,146,63,3433,859,0.680485069662238,0.2064891865138539,0.5996283608714932,0.7321633671613216,0.007327523208741642,0.20145010383608347,0.21913913043887165,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 300, 'subsample': 0.6, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",10,0.20223971450890169,0.676056338028169,0.7477822580645163,0.21913913043887165,0.6350877192982456,0.6899418954117411,0.20312779727155875,0.6877192982456141,0.7502981514609423,0.20145010383608347,0.7230769230769231,0.7406311637080868
