bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.25, 0.375]",0.25,0.375,5.0,0.3583305941074712,0.4
"(0.375, 0.5]",0.375,0.5,360.0,0.46651717018965194,0.5111111111111111
"(0.5, 0.625]",0.5,0.625,407.0,0.5347269180990699,0.4692874692874693
"(0.625, 0.75]",0.625,0.75,4.0,0.632192528440219,0.5
