run_id,latest_epoch,updated_at,cql_loss,loss,q_mean,td_loss
eadff835,200,2025-10-08T16:35:29.954392,0.3899153448068179,0.16163859974879485,0.33436026596106017,0.044663990632845804
d9ec0464,200,2025-10-08T16:35:14.763416,0.14119868725538254,0.19400481535838202,0.2839027689053462,0.05280612652691511
b7917eb7,200,2025-10-08T16:34:58.934378,0.22040041937277868,0.29607095741308653,0.3129122073833759,0.07567053746718627
ad38a4ca,200,2025-10-08T16:34:43.451379,0.24877032866844764,0.10519340003912266,0.3275113965456302,0.030562298372387886
938fc1bd,200,2025-10-08T16:34:28.865028,0.20049120141909674,0.09493781482944122,0.27890672935889316,0.03479045138765986
8fc9e305,200,2025-10-08T16:34:13.797383,0.1948840984931359,0.1405919543825663,0.2930746261890118,0.043149904992717966
8c4a39b3,200,2025-10-08T16:33:58.518964,0.28246931043955,0.12368238144195996,0.28970572352409363,0.03894158639013767
744bdf7f,200,2025-10-08T16:33:43.216332,0.3226698270210853,0.29853631212161136,0.33446369148217714,0.0726674422621727
560114f7,200,2025-10-08T16:33:28.301147,0.20731525123119354,0.20507490978791162,0.2921449736906932,0.0599542328944573
4fc8a078,200,2025-10-08T16:33:13.435501,0.22123607305380014,0.2925523897776237,0.3390992535994603,0.07131631958943146
49fa87bc,200,2025-10-08T16:32:58.707283,0.14683245466305658,0.14157753838942602,0.29092445511084336,0.038794820805868276
4587a544,200,2025-10-08T16:32:43.446200,0.22881701015509093,0.22592649322289687,0.306200405726066,0.06575458912322155
3291fe82,200,2025-10-08T16:32:28.145779,0.20196512112250695,0.14844760986474845,0.2765802351328043,0.04746504901693417
274b4406,200,2025-10-08T16:32:12.072428,0.26558080659462857,0.1828088634289228,0.31176557219945467,0.05001845769584179
1e8f1ef3,200,2025-10-08T16:31:56.834761,0.37702928139613223,0.2504544361279561,0.33896475571852464,0.061939797149254724
0adc0d3a,200,2025-10-08T16:31:41.783172,0.2991328858412229,0.37907308110824,0.39067398584806,0.07994019612669945
aa5f5ebe,50,2025-10-08T16:12:16.456166,0.47765262310321516,1.1256098380455604,0.5613849254754874,0.17030459069288695
9e221b94,50,2025-10-08T16:12:12.028495,0.6360223568402804,0.3989012906184563,0.35783990300618684,0.08089011162519455
2c5c5ce1,50,2025-10-08T16:12:07.376215,0.4381293379343473,0.296107563834924,0.37492763537627,0.07704289114246002
0164d136,50,2025-10-08T16:12:01.931246,0.508235690685419,1.1951700632388775,0.6591765376237723,0.17869868301428282
