accuracy,brier,logloss,auc,best_iteration,num_features,train_samples,val_samples,mean_test_accuracy,mean_test_brier,mean_test_logloss,mean_test_auc,std_test_brier,min_test_brier,max_test_brier,params,config_id,brier_2022,accuracy_2022,auc_2022,brier_2023,accuracy_2023,auc_2023,brier_2024,accuracy_2024,auc_2024,brier_2025,accuracy_2025,auc_2025
0.6623981373690337,0.20877427054710926,0.6020766731558048,0.7241649269311065,186,11,3433,859,0.640682141092167,0.21529153181830465,0.6163708850118582,0.7396968186309907,0.04325437915889642,0.17410438997369362,0.2879994284878439,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.6, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",1,0.19808765485904972,0.6901408450704225,0.7560987903225806,0.20097465395263137,0.6807017543859649,0.7491484672410338,0.17410438997369362,0.7543859649122807,0.8278672232160604,0.2879994284878439,0.4375,0.6256727937442876
0.6647264260768335,0.20770792155159956,0.5997509365713469,0.7274255576310296,199,11,3433,859,0.646987101920086,0.21421013020267282,0.6141678861108736,0.7404241810212098,0.042047570327809265,0.17245945057096526,0.2843560903045091,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.6, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2,0.19838895415313754,0.6866197183098591,0.7548387096774194,0.20163602578207931,0.6842105263157895,0.745241434582248,0.17245945057096526,0.7649122807017544,0.8300536672629697,0.2843560903045091,0.4522058823529412,0.6315629125622018
0.6693830034924331,0.20757226502078352,0.5994568143979376,0.7278705636743216,199,11,3433,859,0.6388081585488161,0.215459982886508,0.6169463596129703,0.7362293456822568,0.04346196391472898,0.17327956419395474,0.28825874620791714,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.6, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",3,0.19812842915534876,0.6971830985915493,0.755141129032258,0.2021731919888114,0.6771929824561403,0.7447906231216188,0.17327956419395474,0.7543859649122807,0.8289604452395151,0.28825874620791714,0.4264705882352941,0.6160251853356352
0.6612339930151339,0.208471044511524,0.6015816918192369,0.7252142621689923,194,11,3433,859,0.6350897632959782,0.21687556268667585,0.6200027296346238,0.7360050113603733,0.043665435560635575,0.17499143479525442,0.2902015950352589,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.7, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",4,0.2003187924028221,0.6971830985915493,0.7512096774193547,0.201990428513368,0.6807017543859649,0.7464936886395512,0.17499143479525442,0.7543859649122807,0.8284635261379447,0.2902015950352589,0.40808823529411764,0.6178531532446431
0.6647264260768335,0.20763019801327814,0.5996713796417792,0.7278293594110538,193,11,3433,859,0.6513465857061876,0.2159117205233451,0.6179393507457729,0.7355536853167367,0.042818419572884424,0.1747303820051844,0.28777743680003964,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.7, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",5,0.19949275832662008,0.704225352112676,0.7526209677419354,0.20164630496153624,0.6877192982456141,0.7462933279903826,0.1747303820051844,0.7649122807017544,0.827072152653548,0.28777743680003964,0.4485294117647059,0.6162282928810806
0.660069848661234,0.2072641549612561,0.5986356607917444,0.7285051093286452,199,11,3433,859,0.6395595775374643,0.21579967055651228,0.6177021042352726,0.7358172023652698,0.04343674610703772,0.17458103253529553,0.2888560408575738,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.7, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",6,0.19847124966107935,0.6971830985915493,0.755241935483871,0.20129035917210034,0.6842105263157895,0.7489981967541575,0.17458103253529553,0.7614035087719299,0.8273703041144902,0.2888560408575738,0.41544117647058826,0.611658373108561
0.6647264260768335,0.20802521620232586,0.6005815787154053,0.726134490715306,195,11,3433,859,0.6378471162371546,0.21676166738522062,0.6195989524972246,0.7334401436731739,0.04284748307093617,0.17508333057047543,0.2885317427626752,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.8, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",7,0.20052345212543293,0.6971830985915493,0.7499495967741935,0.20290814408229899,0.6807017543859649,0.7442897214986977,0.17508333057047543,0.7543859649122807,0.8280659908566885,0.2885317427626752,0.41911764705882354,0.6114552655631156
0.6623981373690337,0.2086917104218234,0.6021715141518342,0.7243434787386003,199,11,3433,859,0.6398499614819984,0.21579610942082428,0.6176444186313719,0.7349384684235323,0.0430541037159261,0.17411466465254627,0.2879802104171271,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",8,0.19967011164662696,0.6936619718309859,0.7528225806451614,0.20141945096699682,0.6771929824561403,0.7480464836706071,0.17411466465254627,0.7473684210526316,0.8293082886106142,0.2879802104171271,0.4411764705882353,0.6095765207677466
0.6612339930151339,0.20793809814058656,0.6004912063361232,0.7273623777606857,199,11,3433,859,0.638721220511926,0.21549571522584254,0.6169984113870264,0.7370837713181976,0.04316796348146892,0.174092194281007,0.2879934309475503,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 200, 'subsample': 0.8, 'colsample_bytree': 0.9, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",9,0.1995629504653631,0.6936619718309859,0.7519657258064516,0.20033428520944987,0.6877192982456141,0.7505259467040672,0.174092194281007,0.7543859649122807,0.8292089047903002,0.2879934309475503,0.41911764705882354,0.6166345079719711
0.6635622817229336,0.20792808187327444,0.5994176070491789,0.7264696187232174,299,11,3433,859,0.6379216994433058,0.2142685989806548,0.61355093500175,0.7424159623492144,0.04458686711501641,0.17169551417907322,0.28919779206585094,"{'max_depth': 2, 'learning_rate': 0.03, 'num_boost_round': 300, 'subsample': 0.6, 'colsample_bytree': 0.7, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",10,0.19718377061756323,0.6866197183098591,0.7572076612903226,0.19899731906013188,0.6807017543859649,0.7520536966539773,0.17169551417907322,0.7578947368421053,0.8275193798449613,0.28919779206585094,0.4264705882352941,0.6328831116075962
