game_id,season,week,kickoff,home_team,away_team,home_score,away_score,spread_close,total_close,home_prior_games,home_prior_epa_sum,home_prior_plays,home_prior_epa_mean,home_epa_pp_last3,home_epa_pp_last5,home_prior_margin_avg,home_margin_last3,home_margin_last5,home_prior_points_for_avg,home_prior_points_against_avg,home_points_for_last3,home_points_against_last3,home_prior_win_pct,home_win_pct_last5,home_season_win_pct,home_season_point_diff_avg,home_rest_days,home_rest_lt_6,home_rest_gt_13,home_travel_change,home_prev_result,home_prev_margin,home_prev_points_for,home_prev_points_against,home_prev_spread_close,home_qb_change,home_qb_team_games,home_qb_total_games,home_coach_change,home_coach_team_games,home_coach_total_games,home_surface_grass,home_surface_artificial,home_roof_dome,home_roof_outdoors,home_prior_turnovers_avg,home_prior_turnovers_opp_avg,home_prior_penalties_avg,home_prior_penalty_yards_avg,home_prior_success_rate,home_success_rate_last3,home_success_rate_last5,home_prior_air_yards,home_prior_yac,home_prior_cpoe,home_prior_completion_pct,home_prior_wp_q4_mean,home_prior_shotgun_rate,home_prior_no_huddle_rate,home_prior_explosive_pass_rate,home_prior_explosive_rush_rate,away_prior_games,away_prior_epa_sum,away_prior_plays,away_prior_epa_mean,away_epa_pp_last3,away_epa_pp_last5,away_prior_margin_avg,away_margin_last3,away_margin_last5,away_prior_points_for_avg,away_prior_points_against_avg,away_points_for_last3,away_points_against_last3,away_prior_win_pct,away_win_pct_last5,away_season_win_pct,away_season_point_diff_avg,away_rest_days,away_rest_lt_6,away_rest_gt_13,away_travel_change,away_prev_result,away_prev_margin,away_prev_points_for,away_prev_points_against,away_prev_spread_close,away_qb_change,away_qb_team_games,away_qb_total_games,away_coach_change,away_coach_team_games,away_coach_total_games,away_surface_grass,away_surface_artificial,away_roof_dome,away_roof_outdoors,away_prior_turnovers_avg,away_prior_turnovers_opp_avg,away_prior_penalties_avg,away_prior_penalty_yards_avg,away_prior_success_rate,away_success_rate_last3,away_success_rate_last5,away_prior_air_yards,away_prior_yac,away_prior_cpoe,away_prior_completion_pct,away_prior_wp_q4_mean,away_prior_shotgun_rate,away_prior_no_huddle_rate,away_prior_explosive_pass_rate,away_prior_explosive_rush_rate,prior_epa_mean_diff,prior_games_diff,epa_pp_last3_diff,epa_pp_last5_diff,prior_margin_avg_diff,margin_last3_diff,margin_last5_diff,prior_points_for_avg_diff,prior_points_against_avg_diff,points_for_last3_diff,points_against_last3_diff,prior_win_pct_diff,win_pct_last5_diff,season_win_pct_diff,season_point_diff_avg_diff,rest_days_diff,qb_change_diff,qb_team_games_diff,qb_total_games_diff,coach_change_diff,coach_team_games_diff,coach_total_games_diff,surface_grass_diff,surface_artificial_diff,roof_dome_diff,roof_outdoors_diff,prior_turnovers_avg_diff,prior_penalties_avg_diff,prior_success_rate_diff,success_rate_last3_diff,prior_air_yards_diff,prior_cpoe_diff,prior_completion_pct_diff,prior_shotgun_rate_diff,prior_explosive_pass_rate_diff,epa_diff_prior,plays_diff_prior,rest_diff,home_margin,home_win,home_cover,over_hit,is_push
2024_01_ARI_BUF,2024,1,2024-09-08 00:00:00+00:00,BUF,ARI,34.0,28.0,6.5,46.0,414,-665.199173445792,34596.0,-0.019227632484847726,0.0648552588666258,0.02188545269200061,-0.10628019323671498,6.0,5.2,21.391304347826086,21.497584541062803,25.333333333333332,19.333333333333332,0.4855072463768116,0.8,,,231.0,0.0,1.0,0.0,0.0,-3.0,24.0,27.0,2.5,0.0,102.0,102.0,0.0,125.0,125.0,0.0,1.0,0.0,1.0,1.5241545893719808,1.5458937198067633,6.128019323671498,51.070048309178745,0.43080370928840855,0.49912355333502295,0.4697833435924011,6.28360294685599,3.6299604930501888,0.20929251312232744,0.23340461303576185,0.5061295071813819,0.3881459594762585,0.05333088252175191,0.03365465544781081,0.031607240377120004,413,-1950.4179131492217,34661.0,-0.05627125337264423,0.09846541611979143,0.07877456418055442,-3.476997578692494,-2.6666666666666665,-2.0,20.484261501210653,23.961259079903147,23.666666666666668,26.333333333333332,0.4261501210653753,0.4,,,245.0,0.0,1.0,1.0,0.0,-1.0,20.0,21.0,-2.5,0.0,65.0,65.0,0.0,17.0,17.0,0.0,1.0,0.0,1.0,1.6440677966101696,1.4092009685230025,5.8692493946731235,47.1501210653753,0.41934347745765377,0.4435120656141849,0.4227324981676827,6.17543412006784,3.5659321849719197,-0.9411527627730634,0.25426291156158004,0.4193436757770581,0.3691491604707617,0.0650688070513603,0.035578836901641035,0.026214162728465877,0.0370436208877965,1,-0.03361015725316563,-0.056889111488553815,3.370717385455779,8.666666666666666,7.2,0.9070428466154326,-2.463674538840344,1.6666666666666643,-7.0,0.059357125311436276,0.4,,,-14.0,0.0,37.0,37.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,-0.11991320723818877,0.25876992899837425,0.011460231830754786,0.05561148772083807,0.10816882678814999,1.150445275895391,-0.020858298525818192,0.018996799005496834,-0.0019241814538302274,0.0370436208877965,-65.0,-14.0,6.0,1.0,1.0,1.0,False
2024_01_BAL_KC,2024,1,2024-09-05 00:00:00+00:00,KC,BAL,27.0,20.0,3.0,46.0,429,1571.4968088257324,35820.0,0.043872049380952884,0.09681645864448594,0.03837575551627744,2.331002331002331,4.333333333333333,6.6,24.18881118881119,21.85780885780886,23.0,18.666666666666668,0.5641025641025641,1.0,,,207.0,0.0,1.0,0.0,1.0,3.0,25.0,22.0,-1.5,0.0,114.0,114.0,0.0,202.0,202.0,1.0,0.0,0.0,1.0,1.0769230769230769,1.2657342657342658,4.8508158508158505,40.473193473193476,0.4552984711899717,0.4600295035268584,0.4234915568811761,5.606946656081552,4.10635570741346,0.7267065416453269,0.2532595544169861,0.5625617607037215,0.3686999681556499,0.025012979046359546,0.0384774519153203,0.033465662305286574,433,-301.7980046760178,36901.0,-0.008178586072898236,-0.07084854650498389,0.05283855166074662,4.369515011547344,3.3333333333333335,12.2,22.676674364896073,18.30715935334873,18.0,14.666666666666666,0.5935334872979214,0.6,,,221.0,0.0,1.0,1.0,0.0,-7.0,10.0,17.0,4.5,0.0,83.0,83.0,0.0,281.0,281.0,1.0,0.0,0.0,1.0,1.464203233256351,1.6558891454965359,6.200923787528868,51.812933025404156,0.4321998844837529,0.42575366063738135,0.4570227188831841,6.225842868749593,3.5403359851038454,0.22768230098437622,0.2283519992276009,0.6022539441838378,0.3470047534718699,0.058273216191168056,0.030966982021995892,0.03493903163234442,0.05205063545385112,-4,0.16766500514946983,-0.01446279614446918,-2.038512680545013,0.9999999999999996,-5.6,1.5121368239151174,3.5506495044601287,5.0,4.000000000000002,-0.02943092319535734,0.4,,,-14.0,0.0,31.0,31.0,0.0,-79.0,-79.0,0.0,0.0,0.0,0.0,-0.3872801563332742,-1.3501079367130178,0.023098586706218782,0.03427584288947705,-0.6188962126680408,0.49902424066095064,0.0249075551893852,0.02169521468378005,0.00751046989332441,0.05205063545385112,-1081.0,-14.0,7.0,1.0,1.0,1.0,False
2024_01_CAR_NO,2024,1,2024-09-08 00:00:00+00:00,NO,CAR,47.0,10.0,3.5,41.5,422,880.8308488481758,36227.0,0.02431420898358064,0.04226648688850918,0.008168756234941909,2.1800947867298577,11.0,14.6,25.229857819905213,23.049763033175356,31.0,20.0,0.5521327014218009,0.8,,,245.0,0.0,1.0,0.0,1.0,31.0,48.0,17.0,3.5,0.0,17.0,66.0,0.0,34.0,34.0,0.0,1.0,1.0,0.0,1.447867298578199,1.4407582938388626,5.907582938388626,51.38388625592417,0.4519063748517626,0.38826466916354535,0.4065274289491077,5.489663587322658,3.8520810394175724,2.6874892015456107,0.2757902687149324,0.5460858775715136,0.3307977242329753,0.017736954210883657,0.04018593875809672,0.029384635495469998,418,-973.7403396446681,34648.0,-0.02810379645707308,-0.1701310400786685,-0.20589240051004992,-1.0430622009569377,-12.666666666666666,-11.6,21.0,22.04306220095694,10.0,22.666666666666668,0.4605263157894737,0.2,,,245.0,0.0,1.0,1.0,0.0,-9.0,0.0,9.0,-5.0,0.0,16.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.569377990430622,1.5813397129186604,5.684210526315789,46.75358851674641,0.42796523446250007,0.34822158517810703,0.3505996177735308,6.1383955092122,3.7757309121330485,-1.2717586487273347,0.22927492626304985,0.4924406304266922,0.3247066354170455,0.05041999846014497,0.03464463833144101,0.03487044340306709,0.052418005440653725,4,0.21239752696717767,0.21406115674499182,3.2231569876867954,23.666666666666664,26.2,4.229857819905213,1.0067008322184172,21.0,-2.666666666666668,0.09160638563232726,0.6000000000000001,,,0.0,0.0,1.0,50.0,-1.0,34.0,34.0,0.0,0.0,0.0,0.0,-0.12151069185242291,0.22337241207283665,0.02394114038926254,0.04004308398543832,-0.6487319218895413,3.9592478502729453,0.046515342451882546,0.006091088815929846,0.00554130042665571,0.052418005440653725,1579.0,0.0,37.0,1.0,1.0,1.0,False
2024_01_DAL_CLE,2024,1,2024-09-08 00:00:00+00:00,CLE,DAL,17.0,33.0,2.5,42.0,407,-1955.942442820465,33281.0,-0.05877054303718233,-0.1637855675003523,-0.13197900246629585,-5.142506142506143,-10.333333333333334,-2.8,18.132678132678134,23.275184275184277,21.666666666666668,32.0,0.34275184275184273,0.6,,,239.0,0.0,1.0,1.0,0.0,-31.0,14.0,45.0,-2.5,1.0,12.0,12.0,0.0,70.0,70.0,1.0,0.0,0.0,1.0,1.6683046683046683,1.461916461916462,5.891891891891892,49.2972972972973,0.4136456444566769,0.38776055124892345,0.39100148441365656,6.047674828230632,3.7907101526544382,-1.9571192717996249,0.23388598415266088,0.3889939939690892,0.329263370032322,0.04317977169616742,0.03311125787147838,0.03041356601799201,418,290.0974259197942,35087.0,0.008267946131609832,0.0561305103946295,0.04426559392053545,1.5191387559808613,4.333333333333333,-2.0,23.196172248803826,21.677033492822968,30.0,25.666666666666668,0.5311004784688995,0.4,,,238.0,0.0,1.0,1.0,0.0,-16.0,32.0,48.0,7.0,0.0,120.0,120.0,0.0,71.0,71.0,1.0,0.0,0.0,1.0,1.5406698564593302,1.4617224880382775,6.385167464114833,53.16267942583732,0.44598102746040746,0.5304455041660745,0.49178646626271094,5.932696133202429,3.8091073281812835,1.5767855569603995,0.24996694111409748,0.5262860736269561,0.31864000054128566,0.04174302596588096,0.03626546911841637,0.035659887734599,-0.06703848916879215,-11,-0.2199160778949818,-0.1762445963868313,-6.661644898487005,-14.666666666666668,-0.7999999999999998,-5.063494116125693,1.5981507823613086,-8.333333333333332,6.333333333333332,-0.1883486357170568,0.19999999999999996,,,1.0,1.0,-108.0,-108.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.1276348118453381,-0.4932755722229407,-0.03233538300373057,-0.14268495291715105,0.11497869502820368,-3.5339048287600243,-0.016080956961436604,0.010623369491036316,-0.003154211246937988,-0.06703848916879215,-1806.0,1.0,-16.0,0.0,0.0,1.0,False
2024_01_DEN_SEA,2024,1,2024-09-08 00:00:00+00:00,SEA,DEN,26.0,20.0,6.5,42.0,432,498.34375168791064,35790.0,0.013924105942663053,0.11893486924478665,0.08504342998647522,2.122685185185185,-1.0,-2.4,23.14814814814815,21.025462962962962,21.333333333333332,22.333333333333332,0.5613425925925926,0.6,,,245.0,0.0,1.0,1.0,1.0,1.0,21.0,20.0,-2.5,0.0,36.0,73.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2291666666666667,1.4212962962962963,5.541666666666667,46.280092592592595,0.4451025784743152,0.46496088900854,0.4423549117835025,6.444242325532303,3.6755740127027527,2.3908249968267428,0.23932984148547656,0.5516935346397894,0.2937010532593382,0.03721230461183045,0.037376634404110265,0.03438823485724323,418,-31.26047263629588,35778.0,-0.0008737344914834781,-0.098712374775019,-0.10096815420202884,0.5215311004784688,-3.0,-3.4,22.555023923444978,22.033492822966508,17.666666666666668,20.666666666666668,0.5263157894736842,0.4,,,245.0,0.0,1.0,0.0,0.0,-13.0,14.0,27.0,3.5,1.0,0.0,0.0,0.0,17.0,17.0,0.0,1.0,0.0,1.0,1.277511961722488,1.1770334928229664,4.961722488038277,41.803827751196174,0.4366461074093572,0.41367629786234444,0.40432655813135876,6.249367011616329,3.8126773244037206,-0.053670484942421985,0.24314887833168602,0.5234411318220511,0.33687576576651346,0.0588025897242355,0.035537327990398035,0.034120278204893856,0.01479784043414653,14,0.21764724401980565,0.18601158418850405,1.6011540847067163,2.0,1.0,0.5931242247031712,-1.0080298600035462,3.6666666666666643,1.6666666666666643,0.03502680311890838,0.19999999999999996,,,0.0,-1.0,36.0,73.0,1.0,-17.0,-17.0,0.0,0.0,0.0,0.0,-0.04834529505582119,0.5799441786283897,0.008456471064958004,0.051284591146195546,0.19487531391597468,2.444495481769165,-0.0038190368462094615,-0.04317471250717525,0.00183930641371223,0.01479784043414653,12.0,0.0,6.0,1.0,1.0,1.0,False
2024_01_GB_PHI,2024,1,2024-09-06 00:00:00+00:00,PHI,GB,34.0,29.0,2.0,49.5,434,391.450561189057,36948.0,0.010594634653812303,-0.033503940254575114,-0.0025597284011532107,2.9654377880184333,-14.666666666666666,-7.8,23.928571428571427,20.963133640552996,16.666666666666668,31.333333333333332,0.576036866359447,0.2,,,235.0,0.0,1.0,1.0,0.0,-23.0,9.0,32.0,-2.5,0.0,56.0,56.0,0.0,56.0,56.0,0.0,0.0,0.0,1.0,1.5299539170506913,1.5806451612903225,6.11520737327189,50.77188940092166,0.4453851955920921,0.3929182712879759,0.4343048843414131,6.140236270074908,3.8057910255753575,0.5296463512640915,0.24885306773840868,0.5746962358297247,0.39452229287950896,0.10652944796135855,0.0396160930831136,0.032940812667969145,434,1678.8953606384669,36488.0,0.046012260486693345,0.1819161391370503,0.19652592666813065,3.5806451612903225,7.0,9.4,25.267281105990783,21.68663594470046,28.666666666666668,21.666666666666668,0.6082949308755761,0.8,,,230.0,0.0,1.0,0.0,0.0,-3.0,21.0,24.0,10.5,0.0,20.0,20.0,0.0,90.0,90.0,0.0,0.0,0.0,1.0,1.3317972350230414,1.5852534562211982,5.608294930875576,46.70046082949309,0.45602710041186656,0.49686440923442343,0.5015669214027231,6.163504211817442,4.0905152195499594,2.067970678560231,0.26676415493578837,0.5973239275936598,0.38239887894124236,0.05967648305171221,0.040198816913995135,0.029056652389192705,-0.03541762583288104,0,-0.2154200793916254,-0.19908565506928386,-0.6152073732718892,-21.666666666666664,-17.2,-1.3387096774193559,-0.7235023041474626,-12.0,9.666666666666664,-0.032258064516129115,-0.6000000000000001,,,5.0,0.0,36.0,36.0,0.0,-34.0,-34.0,0.0,0.0,0.0,0.0,0.1981566820276499,0.5069124423963141,-0.01064190481977445,-0.10394613794644753,-0.023267941742534326,-1.5383243272961393,-0.017911087197379688,0.012123413938266603,-0.0005827238308815375,-0.03541762583288104,460.0,5.0,5.0,1.0,1.0,1.0,False
2024_01_HOU_IND,2024,1,2024-09-08 00:00:00+00:00,IND,HOU,27.0,29.0,-3.0,49.0,431,1262.368024893469,36395.0,0.03468520469552051,-0.0057645127903299355,-0.0407605344818809,2.1345707656612527,-6.666666666666667,-4.6,24.54756380510441,22.412993039443155,17.333333333333332,24.0,0.5951276102088167,0.4,,,246.0,0.0,1.0,0.0,0.0,-4.0,19.0,23.0,-1.5,1.0,4.0,4.0,0.0,17.0,17.0,0.0,1.0,1.0,0.0,1.368909512761021,1.482598607888631,5.139211136890951,42.48259860788863,0.4599770749467495,0.3924228606171152,0.4012130500010886,5.995277054192056,3.5711148231411727,-0.16882797594483934,0.2676714962659096,0.5660880629052806,0.398957347553293,0.06918688140358947,0.0381706291987744,0.029411829360294663,367,-1003.5464688002821,30598.0,-0.0327977798810472,0.011559817106264803,-0.006239552997319775,-2.5476839237057223,3.6666666666666665,4.0,20.673024523160763,23.220708446866485,26.0,22.333333333333332,0.42915531335149865,0.6,,,232.0,0.0,1.0,0.0,0.0,-24.0,10.0,34.0,10.0,0.0,17.0,17.0,0.0,19.0,19.0,0.0,1.0,1.0,0.0,1.4005449591280654,1.2752043596730245,5.931880108991826,49.34059945504087,0.4255960815059982,0.38423923494346024,0.41186222228475755,6.795246812583449,4.183419934392692,0.2674974822891876,0.2463991380951167,0.4464908365349073,0.3317199692844135,0.03166065918686158,0.035852133853072794,0.029383817023251022,0.0674829845765677,64,-0.01732432989659474,-0.03452098148456112,4.6822546893669745,-10.333333333333334,-8.6,3.8745392819436475,-0.8077154074233306,-8.666666666666668,1.6666666666666679,0.165972296857318,-0.19999999999999996,,,14.0,1.0,-13.0,-13.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-0.03163544636704452,-0.7926689721008744,0.034380993440751295,0.008183625673654937,-0.7999697583913932,-0.43632545823402696,0.02127235817079287,0.06723737826887949,0.002318495345701603,0.0674829845765677,5797.0,14.0,-2.0,0.0,0.0,1.0,False
2024_01_JAX_MIA,2024,1,2024-09-08 00:00:00+00:00,MIA,JAX,20.0,17.0,3.5,49.5,412,-999.1291600678479,33869.0,-0.02949981281017591,-0.12737119838703792,-0.044189169009437264,-1.4611650485436893,-21.0,-6.2,20.46359223300971,21.924757281553397,13.333333333333334,34.333333333333336,0.4830097087378641,0.4,,,239.0,0.0,1.0,1.0,0.0,-19.0,7.0,26.0,4.5,0.0,52.0,52.0,0.0,36.0,36.0,1.0,0.0,0.0,1.0,1.6092233009708738,1.3980582524271845,5.728155339805825,47.8252427184466,0.4289339932003069,0.37588033856690567,0.40085287846481876,6.002896157763558,3.371737527539699,0.41715271296115436,0.24624177458358948,0.47298121510118296,0.3721095210470114,0.04462830169332632,0.033253788333679056,0.030292684339422924,413,-1442.7311032617627,34465.0,-0.04186076028613848,-0.05692441355352932,-0.1083605072753238,-2.179176755447942,0.0,-4.0,19.990314769975786,22.16949152542373,19.333333333333332,19.333333333333332,0.4067796610169492,0.2,,,245.0,0.0,1.0,0.0,0.0,-8.0,20.0,28.0,-3.5,0.0,52.0,52.0,0.0,36.0,36.0,1.0,0.0,0.0,1.0,1.450363196125908,1.4043583535108959,5.561743341404358,46.803874092009686,0.42608467431420305,0.43885448916408665,0.4037944339801925,5.767000801762132,3.7455106363661255,-1.4648438087285627,0.24169483938041308,0.411818194121292,0.3888200111665816,0.037072708496861694,0.03393985796820842,0.03143662440062151,0.012360947475962569,-1,-0.07044678483350861,0.06417133826588653,0.7180117069042526,-21.0,-2.2,0.4732774630339236,-0.24473424387033305,-5.999999999999998,15.000000000000004,0.0762300477209149,0.2,,,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15886010484496582,0.16641199840146736,0.0028493188861038465,-0.06297415059718098,0.23589535600142586,1.881996521689717,0.004546935203176394,-0.01671049011957021,-0.000686069634529364,0.012360947475962569,-596.0,-6.0,3.0,1.0,1.0,0.0,False
2024_01_LA_DET,2024,1,2024-09-08 00:00:00+00:00,DET,LA,26.0,20.0,5.0,54.0,410,-1409.2504752540162,34368.0,-0.04100472751553818,0.11999907421104146,0.08212981018969412,-3.7365853658536587,2.0,3.0,21.165853658536584,24.902439024390244,28.666666666666668,26.666666666666668,0.375609756097561,0.6,,,224.0,0.0,1.0,1.0,0.0,-3.0,31.0,34.0,7.5,0.0,51.0,51.0,0.0,54.0,54.0,0.0,1.0,1.0,0.0,1.575609756097561,1.4317073170731707,6.375609756097561,53.32439024390244,0.4235076295100516,0.4804394681579378,0.4523972262047785,5.759704814574322,3.9259877704180557,-0.928266065366875,0.26358527823875155,0.4022435005648595,0.3472237055406698,0.04822606653348552,0.03795213703903814,0.02682370193805976,142,-86.9704500928834,11843.0,-0.007343616490153119,0.07690176572981201,0.04940328228707021,1.9788732394366197,0.3333333333333333,3.4,24.056338028169016,22.077464788732396,23.333333333333332,23.0,0.5704225352112676,0.8,,,238.0,0.0,1.0,0.0,0.0,-1.0,23.0,24.0,3.5,0.0,46.0,214.0,0.0,126.0,126.0,0.0,1.0,1.0,0.0,1.3309859154929577,1.3661971830985915,5.612676056338028,47.683098591549296,0.433136914780506,0.45363087616608744,0.4490400949150448,7.8090238894512085,5.649791166123937,-1.5414891852581398,0.2646825683106006,0.569845095978691,0.40612092922549586,0.103698276257738,0.042257353842676336,0.03212961220295874,-0.03366111102538506,268,0.043097308481229446,0.03272652790262391,-5.715458605290278,1.6666666666666667,-0.3999999999999999,-2.890484369632432,2.824974235657848,5.333333333333336,3.666666666666668,-0.19481277911370665,-0.20000000000000007,,,-14.0,0.0,5.0,-163.0,0.0,-72.0,-72.0,0.0,0.0,0.0,0.0,0.2446238406046033,0.7629336997595333,-0.009629285270454369,0.026808591991850372,-2.0493190748768866,0.6132231198912649,-0.0010972900718490552,-0.05889722368482608,-0.004305216803638198,-0.03366111102538506,22525.0,-14.0,6.0,1.0,1.0,0.0,False
2024_01_LV_LAC,2024,1,2024-09-08 00:00:00+00:00,LAC,LV,22.0,10.0,3.0,41.0,118,8.838997905603271,9974.0,0.0008862039207542883,-0.08820251443397177,-0.19240596569962257,0.7966101694915254,-3.3333333333333335,-13.8,23.694915254237287,22.89830508474576,14.333333333333334,17.666666666666668,0.4915254237288136,0.0,,,245.0,0.0,1.0,0.0,0.0,-1.0,12.0,13.0,3.5,1.0,63.0,63.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1864406779661016,1.2457627118644068,5.6440677966101696,47.83898305084746,0.4325558481562629,0.39333674932034124,0.3871524424092642,7.6955023671283245,5.588545911906397,1.2233916692160967,0.2937121804118006,0.5256491654872698,0.5436043298881554,0.05810639489006903,0.04094922943878575,0.02717140442616972,68,-53.75064780955383,5577.0,-0.00963791425668887,0.018656274462261434,-0.02674371538402407,-2.0294117647058822,5.333333333333333,11.0,22.852941176470587,24.88235294117647,22.333333333333332,17.0,0.47058823529411764,0.6,,,245.0,0.0,1.0,1.0,1.0,13.0,27.0,14.0,3.5,1.0,0.0,33.0,0.0,9.0,9.0,0.0,1.0,1.0,0.0,1.4852941176470589,0.8970588235294118,6.117647058823529,52.26470588235294,0.4294253410469876,0.3998158255283786,0.3884242938518257,8.325967459581888,5.109505339337995,-0.4132955969998505,0.2756559205597172,0.46746073668437926,0.4684037165470177,0.0538584441685632,0.03957113724821852,0.028932135335810984,0.01052411817744316,50,-0.10685878889623321,-0.1656622503155985,2.8260219341974078,-8.666666666666666,-24.8,0.8419740777667002,-1.9840478564307098,-7.999999999999998,0.6666666666666679,0.02093718843469594,-0.6,,,0.0,0.0,63.0,30.0,1.0,-9.0,-9.0,0.0,0.0,0.0,0.0,-0.29885343968095723,-0.47357926221335944,0.0031305071092753156,-0.006479076208037338,-0.6304650924535631,1.6366872662159473,0.018056259852083367,0.07520061334113776,0.001378092190567226,0.01052411817744316,4397.0,0.0,12.0,1.0,1.0,0.0,False
