config,calibration,threshold,season,games,pushes,brier,log_loss,hit_rate,roi,ece,mce
core_form,none,0.5,2003,258,0,0.25567196270761516,0.704558025626971,0.47674418604651164,-0.08984767441860463,0.05776080768489386,
core_form,none,0.5,2004,261,0,0.2507293381060833,0.6946147154777622,0.5019157088122606,-0.041792720306513376,0.039627330960429245,
core_form,none,0.5,2005,257,0,0.2506100579544805,0.6943659299176769,0.48249027237354086,-0.07887782101167312,0.030703935913974103,
core_form,none,0.5,Overall,776,0,0.252333129534219,0.6978382156447133,0.48711340206185566,-0.0700518041237113,0.03391209354722522,0.37200497702763635
core_form,platt,0.5,2003,258,0,0.24964667471158794,0.6924402340935039,0.5038759689922481,-0.0380503875968992,0.00415508907873573,
core_form,platt,0.5,2004,261,0,0.25106283150696934,0.6952749268274727,0.46360153256704983,-0.11493831417624518,0.05035328442295286,
core_form,platt,0.5,2005,257,0,0.24999770884319003,0.6931429094687233,0.5058365758754864,-0.034307392996108944,0.002910843585569946,
core_form,platt,0.5,Overall,776,0,0.25023924261805225,0.6936263711746858,0.49097938144329895,-0.06267126288659793,0.018888182200551273,0.025755396831547595
core_plus_recent,none,0.5,2003,258,0,0.2588100827288075,0.7110244990435904,0.46511627906976744,-0.11204651162790695,0.08624228420752858,
core_plus_recent,none,0.5,2004,261,0,0.2514827808325791,0.6961233984523331,0.49808429118773945,-0.049107279693486564,0.03812369738628905,
core_plus_recent,none,0.5,2005,257,0,0.2534770605737129,0.7001393913321273,0.47470817120622566,-0.09373463035019454,0.050175732553496354,
core_plus_recent,none,0.5,Overall,776,0,0.25457939653193257,0.7024076692289459,0.4793814432989691,-0.08481288659793812,0.05595978291400806,0.132192528440219
core_plus_recent,platt,0.5,2003,258,0,0.25075698909094585,0.6946616255268407,0.4883720930232558,-0.06764883720930227,0.024578267593457687,
core_plus_recent,platt,0.5,2004,261,0,0.2506623545556436,0.6944724365536686,0.4827586206896552,-0.07836551724137927,0.039405078158541954,
core_plus_recent,platt,0.5,2005,257,0,0.24982469931927354,0.6927965140963701,0.4980544747081712,-0.04916420233463032,0.007436080183326191,
core_plus_recent,platt,0.5,Overall,776,0,0.25041639877518085,0.6939802956819583,0.4896907216494845,-0.06513144329896904,0.01954440025716565,0.029027416687553542
