season,games,pushes,brier,log_loss,hit_rate,roi
2003,258,0,0.2504394008924613,0.6940221228577362,0.49224806201550386,-0.06024922480620154
2004,261,0,0.2501559301574053,0.6934590193448225,0.4904214559386973,-0.06373639846743291
2005,257,0,0.2497143807763843,0.6925754307460958,0.5486381322957199,0.04740505836575879
Overall,776,0,0.25010394208874814,0.693353604958816,0.5103092783505154,-0.0257685567010309
