season,model,n_games,brier,logloss,accuracy,roi
2004,glm,261,0.2878453150410095,0.7989152753250779,0.5019157088122606,-0.11445454545454549
2004,xgb,261,0.30751912027153006,0.8412951703747352,0.49808429118773945,-0.14379310344827592
2004,state,261,0.31552372756820496,0.8892111754673664,0.5134099616858238,-0.07704697986577184
2004,ens_mean_glm_xgb,261,0.2859935574368654,0.7834493612616865,0.5057471264367817,-0.11536842105263159
2004,ens_mean_glm_state,261,0.28479829855039357,0.7746037722452783,0.5134099616858238,-0.07886524822695039
2004,ens_mean_xgb_state,261,0.2867908826791631,0.7819629252665057,0.47126436781609193,-0.1723333333333334
2004,ens_mean_glm_xgb_state,261,0.2799380879761048,0.7614557693127812,0.4904214559386973,-0.13478632478632482
2004,ens_stack_glm_xgb,261,0.2859935574368654,0.7834493612616865,0.5057471264367817,-0.11536842105263159
2004,ens_stack_glm_state,261,0.28479829855039357,0.7746037722452783,0.5134099616858238,-0.07886524822695039
2004,ens_stack_xgb_state,261,0.2867908826791631,0.7819629252665057,0.47126436781609193,-0.1723333333333334
2004,ens_stack_glm_xgb_state,261,0.2799380879761048,0.7614557693127812,0.4904214559386973,-0.13478632478632482
2005,glm,257,0.25911682154349974,0.7135670538091181,0.5369649805447471,0.05049999999999999
2005,xgb,257,0.2771457181232121,0.7535743059060063,0.5175097276264592,-0.012808988764044951
2005,state,257,0.29078696939483223,0.8093427644656592,0.5175097276264592,-0.02651612903225806
2005,ens_mean_glm_xgb,257,0.2612832884161704,0.7173610735522692,0.5291828793774319,0.03685714285714283
2005,ens_mean_glm_state,257,0.2571039856974477,0.7078257323666868,0.5097276264591439,-0.03781954887218051
2005,ens_mean_xgb_state,257,0.26320263882847006,0.7208770280013052,0.5252918287937743,-0.004873949579831978
2005,ens_mean_glm_xgb_state,257,0.2554789047452009,0.703903015122921,0.5097276264591439,-0.036695652173913094
2005,ens_stack_glm_xgb,257,0.25082487202874815,0.6948044934838659,0.5058365758754864,0.0
2005,ens_stack_glm_state,257,0.25013711059802857,0.6934203453858601,0.5058365758754864,0.0
2005,ens_stack_xgb_state,257,0.2505272861044934,0.6942098405937646,0.5058365758754864,0.0
2005,ens_stack_glm_xgb_state,257,0.2504494761793644,0.6940528791936055,0.5058365758754864,0.0
2006,glm,259,0.2681860647683059,0.732338538210552,0.4864864864864865,-0.15111111111111114
2006,xgb,259,0.27984073748393623,0.7646535602085605,0.5019305019305019,-0.08563829787234047
2006,state,259,0.348320062569112,0.9864645999568505,0.47876447876447875,-0.10782894736842105
2006,ens_mean_glm_xgb,259,0.26827765748588234,0.7324795845036299,0.4942084942084942,-0.11487804878048782
2006,ens_mean_glm_state,259,0.28598795652824227,0.7728241593788796,0.47104247104247104,-0.1305223880597015
2006,ens_mean_xgb_state,259,0.29074878168355384,0.7878506500745381,0.4671814671814672,-0.14275590551181105
2006,ens_mean_glm_xgb_state,259,0.27596785755215103,0.7495651045137646,0.49034749034749037,-0.10990291262135929
2006,ens_stack_glm_xgb,259,0.2501531742336111,0.6934559555062387,0.5173745173745173,0.0
2006,ens_stack_glm_state,259,0.25212473758361803,0.6974232543171588,0.5173745173745173,0.0
2006,ens_stack_xgb_state,259,0.2522430378558581,0.6976620468298065,0.5173745173745173,0.0
2006,ens_stack_glm_xgb_state,259,0.25225597783185144,0.697692060356037,0.5173745173745173,0.0
2007,glm,262,0.2530421947299484,0.700222729067118,0.5305343511450382,0.11716981132075467
2007,xgb,262,0.285390870767638,0.7750533643321389,0.4847328244274809,-0.08535211267605637
2007,state,262,0.3082693495706179,0.8685493062274133,0.5190839694656488,-0.00826923076923081
2007,ens_mean_glm_xgb,262,0.2618529185745301,0.7181655453961455,0.5190839694656488,0.06959999999999994
2007,ens_mean_glm_state,262,0.26433704582952305,0.725759902731054,0.5267175572519084,0.013769230769230707
2007,ens_mean_xgb_state,262,0.2761902367848528,0.7533774046311005,0.49236641221374045,-0.05316239316239321
2007,ens_mean_glm_xgb_state,262,0.2625353766319356,0.7202728064656717,0.49236641221374045,-0.055730337078651694
2007,ens_stack_glm_xgb,262,0.2501312723202859,0.6934101971773737,0.4961832061068702,0.0
2007,ens_stack_glm_state,262,0.25030996899226543,0.6937679920348349,0.4961832061068702,0.0
2007,ens_stack_xgb_state,262,0.25044382867519066,0.6940353986936006,0.4961832061068702,0.0
2007,ens_stack_glm_xgb_state,262,0.25013028069865106,0.6934088086122435,0.4961832061068702,0.0
2008,glm,261,0.25703611091408796,0.7080973056591331,0.524904214559387,-0.1318181818181819
2008,xgb,261,0.27090310700408426,0.7389737354695737,0.4904214559386973,-0.220921052631579
2008,state,261,0.3207915925628636,0.9206873174571503,0.4942528735632184,-0.12407643312101914
2008,ens_mean_glm_xgb,261,0.2603996423308373,0.7148287190076122,0.5095785440613027,-0.18142857142857147
2008,ens_mean_glm_state,261,0.27080323493632474,0.737838017414966,0.5095785440613027,-0.10866666666666668
2008,ens_mean_xgb_state,261,0.2749042045165266,0.7461256922511206,0.4904214559386973,-0.14330882352941177
2008,ens_mean_glm_xgb_state,261,0.26396639073930206,0.7218834030272296,0.49808429118773945,-0.14732142857142863
2008,ens_stack_glm_xgb,261,0.24891266880043122,0.6909720210357996,0.5440613026819924,0.0
2008,ens_stack_glm_state,261,0.24925660724781312,0.6916602537066316,0.5440613026819924,0.0
2008,ens_stack_xgb_state,261,0.24886739030799662,0.6908813994643979,0.5440613026819924,0.0
2008,ens_stack_glm_xgb_state,261,0.24896504161770108,0.6910773041259655,0.5440613026819924,0.0
