accuracy,brier,logloss,auc,best_iteration,num_features,train_samples,val_samples,test_accuracy,test_brier,test_logloss,test_auc,test_samples,params,test_season,config_id
0.69433465085639,0.19857843122142343,0.5817807502147023,0.7505459839844698,297,9,3034,759,0.7157894736842105,0.18718685820512626,0.5524772487071259,0.7884944181836469,285,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 0.8, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2024,5
0.7209302325581395,0.19257766417556063,0.5690711459116923,0.7659277861267105,299,9,2579,645,0.6443661971830986,0.21663985418003062,0.6243912729446093,0.7058616352201259,284,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 0.8, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2022,6
0.7051282051282052,0.19619801418590377,0.5767089284069876,0.7563858876884086,285,9,2806,702,0.6771929824561403,0.20507532008327967,0.5945623142825334,0.7254539858417974,285,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 0.8, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2023,6
0.6982872200263505,0.19884146538543332,0.5823391555532699,0.7495467976076622,298,9,3034,759,0.7157894736842105,0.18686734069028518,0.5514108314074178,0.7884944181836469,285,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 0.8, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2024,6
0.7131782945736435,0.1935925302698092,0.5717040317477219,0.7643063355216325,299,9,2579,645,0.6549295774647887,0.21799769916997,0.6268529767423807,0.7023396226415093,284,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 1.0, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2022,7
0.6965811965811965,0.1962872067737211,0.5766776324322992,0.7562316593303988,299,9,2806,702,0.6666666666666666,0.2051282133932054,0.5942608442451293,0.7266338360521186,285,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 1.0, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2023,7
0.6903820816864296,0.19952531409109964,0.583811937243283,0.7473628616697832,299,9,3034,759,0.7192982456140351,0.1867761728947858,0.5513319838159804,0.7896510107613397,285,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 1.0, 'colsample_bytree': 0.8, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2024,7
0.7193798449612403,0.19268532322877183,0.5695170683128111,0.7659920509372775,299,9,2579,645,0.6549295774647887,0.2177946152035391,0.6263672523868504,0.7031949685534592,284,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 1.0, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2022,8
0.6994301994301995,0.19618345819819524,0.5766712600696772,0.7568860877684407,299,9,2806,702,0.6701754385964912,0.2056250858426707,0.5950104146727095,0.7245562737252488,285,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 1.0, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2023,8
0.689064558629776,0.1995705953738327,0.584174730776456,0.7471451817805501,291,9,3034,759,0.7192982456140351,0.18648676064852246,0.5503100178271713,0.7907573167052198,285,"{'max_depth': 3, 'learning_rate': 0.01, 'num_boost_round': 300, 'subsample': 1.0, 'colsample_bytree': 1.0, 'objective': 'binary:logistic', 'eval_metric': 'logloss', 'early_stopping_rounds': 50}",2024,8
