player_id,player_display_name,player_position,season,week,team,actual_yards,volume,bayes_prediction,bayes_uncertainty,bayes_ci_lower,bayes_ci_upper,error,abs_error,squared_error,pct_error,in_ci_90,in_ci_68
00-0030288,Rex Burkhead,RB,2022,1,HOU,40,14,69.43267973856209,50.0,-12.817320261437914,151.6826797385621,29.432679738562086,29.432679738562086,866.2826365927632,0.7358169934640522,1,1
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,69.43267973856209,50.0,-12.817320261437914,151.6826797385621,-50.567320261437914,50.567320261437914,2557.0538784228293,0.42139433551198263,1,0
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,120.0,50.0,37.75,202.25,0.0,0.0,0.0,0.0,1,1
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,80.5,55.86143571373726,-11.392061749097792,172.3920617490978,-39.5,39.5,1560.25,0.32916666666666666,1,1
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,100.66666666666667,52.72886622461489,13.92768172717517,187.4056516061582,-19.33333333333333,19.33333333333333,373.7777777777776,0.16111111111111107,1,1
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,86.5,51.53962876596351,1.717310679990021,171.28268932000998,-33.5,33.5,1122.25,0.2791666666666667,1,1
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,79.6,47.22605213227123,1.9131442424138214,157.28685575758618,-40.400000000000006,40.400000000000006,1632.1600000000005,0.3366666666666667,1,1
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,75.0,43.71727347399423,3.085085135279485,146.91491486472052,-45.0,45.0,2025.0,0.375,1,0
00-0030578,Cordarrelle Patterson,RB,2022,1,PIT,120,22,72.85714285714286,40.30892610588285,6.548959412965573,139.16532630132014,-47.14285714285714,47.14285714285714,2222.448979591836,0.39285714285714285,1,0
00-0032144,Melvin Gordon,RB,2022,1,BAL,58,12,69.43267973856209,50.0,-12.817320261437914,151.6826797385621,11.432679738562086,11.432679738562086,130.70616600452806,0.19711516790624287,1,1
00-0032144,Melvin Gordon,RB,2022,1,BAL,58,12,58.0,50.0,-24.25,140.25,0.0,0.0,0.0,0.0,1,1
00-0032144,Melvin Gordon,RB,2022,1,BAL,58,12,52.5,7.7781745930520225,39.70490279442942,65.29509720557058,-5.5,5.5,30.25,0.09482758620689655,1,1
00-0032144,Melvin Gordon,RB,2022,1,BAL,58,12,43.666666666666664,16.258331197676263,16.921711846489213,70.41162148684411,-14.333333333333336,14.333333333333336,205.4444444444445,0.24712643678160923,1,1
00-0032144,Melvin Gordon,RB,2022,1,BAL,58,12,46.25,14.244882121894399,22.817168909483712,69.68283109051629,-11.75,11.75,138.0625,0.2025862068965517,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,69.43267973856209,50.0,-12.817320261437914,151.6826797385621,-12.567320261437914,12.567320261437914,157.9375385535479,0.15326000318826724,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,82.0,50.0,-0.25,164.25,0.0,0.0,0.0,0.0,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,53.5,40.30508652763321,-12.801867337956622,119.80186733795662,-28.5,28.5,812.25,0.3475609756097561,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,64.0,33.80828300875393,8.385374450599784,119.61462554940022,-18.0,18.0,324.0,0.21951219512195122,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,76.5,37.242448899072144,15.236171561026325,137.7638284389737,-5.5,5.5,30.25,0.06707317073170732,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,81.6,34.20964776199837,25.32512943151268,137.87487056848732,-0.4000000000000057,0.4000000000000057,0.16000000000000456,0.004878048780487874,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,89.33333333333333,35.98703470232949,30.134661248001322,148.53200541866534,7.333333333333329,7.333333333333329,53.77777777777771,0.08943089430894303,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,107.85714285714286,59.00121064133224,10.800151352151317,204.9141343621344,25.85714285714286,25.85714285714286,668.5918367346941,0.31533101045296175,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,108.75,54.682851843281604,18.796708717801764,198.70329128219822,26.75,26.75,715.5625,0.32621951219512196,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,102.55555555555556,54.42221768522281,13.031007463364034,192.08010364774708,20.555555555555557,20.555555555555557,422.53086419753095,0.2506775067750678,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,101.0,51.54501808020722,16.208445258059115,185.7915547419409,19.0,19.0,361.0,0.23170731707317074,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,95.27272727272727,52.4596814879597,8.97655122503356,181.568903320421,13.272727272727266,13.272727272727266,176.16528925619818,0.16186252771618617,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,89.83333333333333,53.44977818362568,1.908448221269083,177.75821844539757,7.833333333333329,7.833333333333329,61.361111111111036,0.09552845528455278,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,92.23076923076923,51.8991872867547,6.856606144057736,177.60493231748072,10.230769230769226,10.230769230769226,104.66863905325435,0.12476547842401496,1,1
00-0032764,Derrick Henry,RB,2022,1,BAL,82,21,93.07142857142857,49.96223848793482,10.883546258775795,175.25931088408134,11.07142857142857,11.07142857142857,122.57653061224485,0.13501742160278743,1,1
