feature,importance
season_point_diff_avg_diff,0.07147413471132279
points_against_last3_diff,0.06702536117130639
plays_diff_prior,0.0585787799394294
prior_margin_avg_diff,0.05660803009844448
points_for_last3_diff,0.05524247673850055
coach_total_games_diff,0.054113916785522284
epa_pp_last3_diff,0.053358804085629666
qb_team_games_diff,0.05278812694281707
coach_team_games_diff,0.05051430663225867
prior_epa_mean_diff,0.04520206771745649
home_qb_total_games,0.045186078504621294
epa_diff_prior,0.04208138657845316
season_win_pct_diff,0.03825621961935578
prior_games_diff,0.037297895939799264
home_coach_total_games,0.033918939386648334
qb_total_games_diff,0.02901902553110609
away_coach_total_games,0.028220197806685065
home_qb_team_games,0.028079846552937587
home_coach_team_games,0.02318663508491073
away_qb_team_games,0.022450770217750507
away_qb_total_games,0.022123472472779678
away_coach_team_games,0.02166556867076602
rest_diff,0.01906130550034928
win_pct_last5_diff,0.01220683554800357
away_travel_change,0.00610692105762707
home_prev_result,0.006078777394362135
qb_change_diff,0.005399057119175033
home_surface_artificial,0.0033435850399332187
home_travel_change,0.002765250835229143
home_surface_grass,0.0023364904114128735
home_roof_outdoors,0.0012425362481154468
away_qb_change,0.0011304222039260551
coach_change_diff,0.0011115569469626928
home_qb_change,0.0010578319728369986
away_prev_result,0.0009094910347611708
home_roof_dome,0.0008578974988037725
away_coach_change,0.0
home_coach_change,0.0
