config_id,alpha,lr,hidden_dims,match_rate,avg_q_value,q_value_stats,action_distribution,estimated_policy_reward,logged_avg_reward,final_loss,final_td_loss,final_cql_loss
1,0.1,1e-05,"[128, 64]",0.608433734939759,-1.9778783321380615,"{'mean': -1.9778783321380615, 'std': 2.3047797679901123, 'min': -6.224673271179199, 'max': 0.5705760717391968, 'q25': -3.6807706356048584, 'q50': -0.8979930877685547, 'q75': 0.023513812571763992}","{0: 0.5524679362611737, 1: 0.44753206373882626}",0.03685969913510835,0.014117764309048653,0.15537101719528437,0.0872028318233788,0.6816818132996559
2,0.1,1e-05,"[128, 64, 32]",0.6643995336183444,-1.5031530857086182,"{'mean': -1.5031530857086182, 'std': 1.590590238571167, 'min': -3.993142604827881, 'max': 1.179167628288269, 'q25': -3.1403818130493164, 'q50': -0.8533278703689575, 'q75': 0.015167443081736565}","{0: 0.5785075787019044, 1: 0.4214924212980956}",0.03806840514006246,0.014117764309048653,0.15272557735443115,0.08704638471826912,0.6567919239401817
3,0.1,1e-05,"[256, 128, 64]",0.7087057909055577,-2.0872390270233154,"{'mean': -2.0872390270233154, 'std': 2.342866897583008, 'min': -6.234311580657959, 'max': 1.2026116847991943, 'q25': -3.8189806938171387, 'q50': -0.9685684442520142, 'q75': 0.030268292874097824}","{0: 0.6356393315196269, 1: 0.36436066848037313}",0.03612126161558268,0.014117764309048653,0.14828897044062614,0.08749714167788625,0.6079182848334312
4,0.1,3e-05,"[128, 64]",0.6770307034589973,-3.2585458755493164,"{'mean': -3.2585458755493164, 'std': 3.9322426319122314, 'min': -11.443731307983398, 'max': 1.131738543510437, 'q25': -7.048307418823242, 'q50': -1.1266529560089111, 'q75': 0.020351894199848175}","{0: 0.5934706568208317, 1: 0.4065293431791683}",0.03812087306103445,0.014117764309048653,0.14169045742601155,0.08066616323776543,0.6102429375052452
5,0.1,3e-05,"[128, 64, 32]",0.8390983287990672,-2.943592071533203,"{'mean': -2.943592071533203, 'std': 2.922058582305908, 'min': -8.789351463317871, 'max': 0.9188187122344971, 'q25': -5.858954429626465, 'q50': -2.013068675994873, 'q75': -0.03100587986409664}","{0: 0.8309366498251068, 1: 0.16848037310532452, 2: 0.000582977069568597}",0.03274776715042523,0.014117764309048653,0.1338724246248603,0.08940733056515456,0.4446509346365929
6,0.1,3e-05,"[256, 128, 64]",0.6809172172561213,-3.278331756591797,"{'mean': -3.278331756591797, 'std': 3.9993736743927, 'min': -11.096869468688965, 'max': 1.0201842784881592, 'q25': -6.313397407531738, 'q50': -1.0252196788787842, 'q75': -0.0300187636166811}","{0: 0.5746210649047804, 1: 0.41255343956471047, 2: 0.012825495530509134}",0.03395453035205985,0.014117764309048653,0.14327049795538188,0.09134360710158944,0.5192688919603825
7,0.1,0.0001,"[128, 64]",0.8311309755149631,-4.941896438598633,"{'mean': -4.941896438598633, 'std': 5.874714374542236, 'min': -17.334548950195312, 'max': 1.1903729438781738, 'q25': -11.869613647460938, 'q50': -1.7924405336380005, 'q75': -0.011793403886258602}","{0: 0.7232802176447727, 1: 0.276331130975515, 2: 0.000388651379712398}",0.03386708381710653,0.014117764309048653,0.1351455369964242,0.09051820077002048,0.4462733529508114
8,0.1,0.0001,"[128, 64, 32]",0.8062572872133696,-4.748558044433594,"{'mean': -4.748558044433594, 'std': 5.281466007232666, 'min': -15.251431465148926, 'max': 1.1998215913772583, 'q25': -9.757142066955566, 'q50': -2.4906721115112305, 'q75': -0.002385903149843216}","{0: 0.6931597357170618, 1: 0.3021764477263894, 2: 0.004663816556548776}",0.03464632988949022,0.014117764309048653,0.11878289170563221,0.08168876431882381,0.3709412656724453
9,0.1,0.0001,"[256, 128, 64]",0.876020209871745,-6.3375043869018555,"{'mean': -6.3375043869018555, 'std': 5.991330146789551, 'min': -17.24724769592285, 'max': 0.8001723885536194, 'q25': -12.710892677307129, 'q50': -4.5594635009765625, 'q75': -0.01985415443778038}","{0: 0.8577535950252624, 1: 0.13972017100660708, 2: 0.0025262339681305867}",0.03158375632424694,0.014117764309048653,0.12573884800076485,0.09037194810807705,0.3536689981818199
10,0.1,0.0003,"[128, 64]",0.9531675087446561,-9.198604583740234,"{'mean': -9.198604583740234, 'std': 8.036880493164062, 'min': -24.139392852783203, 'max': 1.0303109884262085, 'q25': -17.477962493896484, 'q50': -8.223073959350586, 'q75': -0.12501302361488342}","{0: 0.8082005441119317, 1: 0.18538670812281383, 2: 0.006412747765254567}",0.027973185832334595,0.014117764309048653,0.10766595304012298,0.08855077978223562,0.1911517335101962
