season,week,team,rating,variance
2020,1,KC,2.977346278317152,74.11003236245955
2020,1,HOU,-2.977346278317152,74.11003236245955
2020,1,ATL,-4.01294498381877,74.11003236245955
2020,1,SEA,4.01294498381877,74.11003236245955
2020,1,BAL,7.637540453074433,74.11003236245955
2020,1,CLE,-7.637540453074433,74.11003236245955
2020,1,BUF,1.9417475728155338,74.11003236245955
2020,1,NYJ,-1.9417475728155338,74.11003236245955
2020,1,CAR,-1.6828478964401292,74.11003236245955
2020,1,LV,1.6828478964401292,74.11003236245955
2020,1,DET,-1.6828478964401292,74.11003236245955
2020,1,CHI,1.6828478964401292,74.11003236245955
2020,1,JAX,1.1650485436893203,74.11003236245955
2020,1,IND,-1.1650485436893203,74.11003236245955
2020,1,MIN,-2.977346278317152,74.11003236245955
2020,1,GB,2.977346278317152,74.11003236245955
2020,1,NE,1.9417475728155338,74.11003236245955
2020,1,MIA,-1.9417475728155338,74.11003236245955
2020,1,WAS,1.9417475728155338,74.11003236245955
2020,1,PHI,-1.9417475728155338,74.11003236245955
2020,1,CIN,-1.4239482200647249,74.11003236245955
2020,1,LAC,1.4239482200647249,74.11003236245955
2020,1,NO,2.200647249190938,74.11003236245955
2020,1,TB,-2.200647249190938,74.11003236245955
2020,1,SF,-1.6828478964401292,74.11003236245955
2020,1,ARI,1.6828478964401292,74.11003236245955
2020,1,LA,0.12944983818770225,74.11003236245955
2020,1,DAL,-0.12944983818770225,74.11003236245955
2020,1,NYG,-3.2362459546925564,74.11003236245955
2020,1,PIT,3.2362459546925564,74.11003236245955
2020,1,DEN,-1.1650485436893203,74.11003236245955
2020,1,TEN,1.1650485436893203,74.11003236245955
2020,2,KC,3.907928043768274,63.513254733472046
2020,2,HOU,-5.072395263184767,63.513254733472046
2020,2,ATL,-2.7435536211062304,63.513254733472046
2020,2,SEA,4.114053703722234,63.513254733472046
2020,2,BAL,9.732589437942048,63.513254733472046
2020,2,CLE,-5.582934956168204,63.513254733472046
2020,2,BUF,2.322908369734628,63.513254733472046
2020,2,NYJ,-6.714460694598268,63.513254733472046
2020,2,CAR,-4.516562850111914,63.513254733472046
2020,2,LV,3.5733901874652663,63.513254733472046
2020,2,DET,-4.946179524116819,63.513254733472046
2020,2,CHI,0.8766489335872303,63.513254733472046
2020,2,JAX,1.0471519608584894,63.513254733472046
2020,2,IND,1.8266249384354225,63.513254733472046
2020,2,MIN,-5.969019760441895,63.513254733472046
2020,2,GB,6.2406779059938415,63.513254733472046
2020,2,NE,1.84063885291207,63.513254733472046
2020,2,MIA,-2.322908369734628,63.513254733472046
2020,2,WAS,-1.0667137722365767,63.513254733472046
2020,2,PHI,-6.287133274628912,63.513254733472046
2020,2,CIN,-3.4785537169709535,63.513254733472046
2020,2,LAC,0.49336645461360273,63.513254733472046
2020,2,NO,0.3101049581658011,63.513254733472046
2020,2,TB,0.6330677044808466,63.513254733472046
2020,2,SF,3.0898652253426047,63.513254733472046
2020,2,ARI,4.69130924149224,63.513254733472046
2020,2,LA,4.474835540001081,63.513254733472046
2020,2,DAL,-1.3988412009002416,63.513254733472046
2020,2,NYG,-2.4300469918396574,63.513254733472046
2020,2,PIT,2.7879337060639924,63.513254733472046
2020,2,DEN,-0.7167362950607561,63.513254733472046
2020,2,TEN,1.2829451265201512,63.513254733472046
2020,3,KC,8.794582582356272,56.640797852957604
2020,3,HOU,-4.336851439303361,56.640797852957604
2020,3,ATL,-3.3739136972502717,56.640797852957604
2020,3,SEA,3.8923407112878747,56.640797852957604
2020,3,BAL,4.8459348993540505,56.640797852957604
2020,3,CLE,-2.0771375531261005,56.640797852957604
2020,3,BUF,2.9033898253668915,56.640797852957604
2020,3,NYJ,-10.645495026986943,56.640797852957604
2020,3,CAR,-1.7782591538101227,56.640797852957604
2020,3,LV,0.23908682985182628,56.640797852957604
2020,3,DET,-1.6327282303564012,56.640797852957604
2020,3,CHI,1.5070090097312716,56.640797852957604
2020,3,JAX,-4.177775602043038,56.640797852957604
2020,3,IND,5.757659270824098,56.640797852957604
2020,3,MIN,-5.1477505855248324,56.640797852957604
2020,3,GB,7.021991297345299,56.640797852957604
2020,3,NE,5.17494221052551,56.640797852957604
2020,3,MIA,2.902019193166899,56.640797852957604
2020,3,WAS,-4.57251117527868,56.640797852957604
2020,3,PHI,-6.219588165239783,56.640797852957604
2020,3,CIN,-3.546098826360083,56.640797852957604
2020,3,LAC,-2.2449372416881883,56.640797852957604
2020,3,NO,-0.4712084331856571,56.640797852957604
2020,3,TB,4.824862175545572,56.640797852957604
2020,3,SF,8.338876743619286,56.640797852957604
2020,3,ARI,1.377857947731822,56.640797852957604
2020,3,LA,3.8943540843688176,56.640797852957604
2020,3,DAL,-1.177128208465883,56.640797852957604
2020,3,NYG,-7.679058510116339,56.640797852957604
2020,3,PIT,2.0523898821825863,56.640797852957604
2020,3,DEN,-4.908530766125482,56.640797852957604
2020,3,TEN,0.46167595160308905,56.640797852957604
2020,4,KC,10.837071260137632,52.071394363537934
2020,4,HOU,-6.675064248462507,52.071394363537934
2020,4,ATL,-3.6021545338797525,52.071394363537934
2020,4,SEA,5.858201404577029,52.071394363537934
2020,4,BAL,6.309848588530249,52.071394363537934
2020,4,CLE,0.899662599224639,52.071394363537934
2020,4,BUF,4.316479455889933,52.071394363537934
2020,4,NYJ,-11.836841869593812,52.071394363537934
2020,4,CAR,0.42459573691258035,52.071394363537934
2020,4,LV,-1.174002800671215,52.071394363537934
2020,4,DET,-3.14975425880864,52.071394363537934
2020,4,CHI,0.21513031648790348,52.071394363537934
