season,week,mean_clv,std_clv,n_games,mean_prob,roi
2023,1,-0.02479803847037134,0.07834428020574338,16,0.46304177724097817,0.9099999999999999
2023,2,-0.03305837649668759,0.0952721239836573,16,0.5519497708870093,0.6667260163081676
2023,3,0.03007093354200656,0.06678867192289321,16,0.691938108526186,0.26710823388074695
2023,4,-0.01746527296837653,0.09488472599641426,16,0.5643691559062867,0.24019373194172824
2023,5,-0.025197456347352064,0.07507542266268995,14,0.5331237705017535,0.9099999999999999
2023,6,-0.006245233501764728,0.09613469502252936,15,0.5863337064437265,0.727319409344139
2023,7,-0.011505688023163044,0.09092519020629809,13,0.5518179497925594,0.7038447003533579
2023,8,-0.006850172387861845,0.08149362945022473,16,0.5636241462039546,0.5245354193900529
2023,9,0.044163086007695807,0.07187711443993418,14,0.6431208456526987,0.8349670449541919
2023,10,0.016940680772880797,0.0617210472244075,14,0.6926636687984999,0.9099999999999999
2023,11,0.025909562896012234,0.06028296297208227,14,0.6995993125819203,0.9099999999999999
2023,12,-0.03217414017211208,0.07785319194935696,16,0.45971714143279124,0.5838766082623248
2023,13,-0.006573663251694484,0.08010300947183048,13,0.5634587486042919,0.0363846654659331
2023,14,0.012170369641865476,0.07086830585652104,15,0.6774138705840053,0.1457237964754837
2023,15,-0.009803136678782623,0.0810640177283368,16,0.5749954411911145,0.7769084511031922
2023,16,-0.016772236485502648,0.08039576991551571,16,0.5309671177433377,0.5980593890444921
2023,17,0.0015268336307032691,0.05387732865196335,16,0.6316581051029603,0.7896683349915777
2023,18,-0.02125333254578244,0.09402423657850809,16,0.5394896995787108,0.9099999999999999
2024,1,0.02335065464127628,0.0827229321229899,16,0.6882151341737657,0.9099999999999999
2024,2,-0.013670196471400942,0.09042570817524526,16,0.5945579201787409,0.5483802870784467
2024,3,-0.010199602481888115,0.08446422629099179,16,0.5529004651312653,-0.15112540125884866
2024,4,-0.02302174991288985,0.0763027204094767,16,0.49604194359459264,0.5804585543871572
2024,5,-0.01486308912558852,0.10760557898450329,14,0.5382491978611114,0.4673949807557764
2024,6,-0.007630893174285629,0.08315933831876751,14,0.5531193891845957,-0.005580229237335952
2024,7,-0.006650203112348553,0.08237341270047846,15,0.542809990127797,0.29364098528363286
2024,8,0.024058134917533384,0.0635160731360215,16,0.5969615189874724,0.8226559794416823
2024,9,0.028170265420331977,0.07571716738389604,15,0.6449966085314635,0.36097508306357146
2024,10,-0.012048898226340688,0.07929532957380625,14,0.5267711041982936,0.48971965919486576
2024,11,-0.00486789398619599,0.07836430675402133,14,0.6293462711815474,0.7699314665833336
2024,12,-0.020388973089106335,0.08010273575331647,13,0.42870634505178906,0.0955781926972376
2024,13,0.007596150352522341,0.06662459795097234,16,0.6753590101708093,0.9099999999999999
2024,14,0.01872701648206582,0.06586939993630943,13,0.6368377153920016,0.6749567546777152
2024,15,-0.0004812412162190985,0.11148690052788898,16,0.5084351794371257,0.28539221297057144
2024,16,0.006809367289629342,0.062654496458053,16,0.6238551907584194,0.9099999999999999
2024,17,0.008385659874512702,0.0715380396392477,16,0.6063671860398689,0.6750763367216166
2024,18,-0.009287489989677036,0.08874953016990277,16,0.5404085285368342,0.46606678505235705
2025,1,-0.004297540028365072,0.0697764056152622,16,0.4987754393892225,0.8159078275450374
2025,2,0.006134412102181375,0.08165137946236492,16,0.6489939011942303,0.5604709891586784
2025,3,0.003151389961331237,0.07234021647019388,16,0.5831160369941264,0.495029111846486
2025,4,0.03807515251612004,0.0802457205922802,16,0.6608650407752285,0.9099999999999999
2025,5,-0.09305300207319805,,1,0.13222258234866124,0.0
