bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.3, 0.4]",0.3,0.4,2.0,0.38998927963672575,1.0
"(0.4, 0.5]",0.4,0.5,182.0,0.4731044657107093,0.45604395604395603
"(0.5, 0.6]",0.5,0.6,74.0,0.5184683827178472,0.5
