bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.3, 0.4]",0.3,0.4,3.0,0.3758804933066607,0.3333333333333333
"(0.4, 0.5]",0.4,0.5,209.0,0.46785911982952805,0.4688995215311005
"(0.5, 0.6]",0.5,0.6,64.0,0.5305973262082172,0.515625
"(0.6, 0.7]",0.6,0.7,4.0,0.6374235443235443,0.75
"(0.7, 0.8]",0.7,0.8,1.0,0.7210440154440155,1.0
