bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.1, 0.2]",0.1,0.2,1.0,0.11639717388763426,0.0
"(0.4, 0.5]",0.4,0.5,4642.0,0.4818186198289235,0.48599741490736753
"(0.5, 0.6]",0.5,0.6,881.0,0.5126872883372676,0.492622020431328
"(0.6, 0.7]",0.6,0.7,2.0,0.6032673815438893,0.5
"(0.8, 0.9]",0.8,0.9,3.0,0.8543902425706942,0.6666666666666666
