bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.1, 0.2]",0.1,0.2,5.0,0.15989895847758104,0.6
"(0.2, 0.3]",0.2,0.3,26.0,0.26880723635080706,0.5384615384615384
"(0.3, 0.4]",0.3,0.4,93.0,0.3661730072304014,0.5483870967741935
"(0.4, 0.5]",0.4,0.5,4193.0,0.4732366403433439,0.4836632482709277
"(0.5, 0.6]",0.5,0.6,1084.0,0.5280142180182689,0.4944649446494465
"(0.6, 0.7]",0.6,0.7,87.0,0.6376704057437081,0.45977011494252873
"(0.7, 0.8]",0.7,0.8,24.0,0.7444440299130687,0.3333333333333333
"(0.8, 0.9]",0.8,0.9,14.0,0.8526478103277173,0.7857142857142857
"(0.9, 1.0]",0.9,1.0,3.0,0.9312724014336918,0.6666666666666666
