bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.1, 0.2]",0.1,0.2,3.0,0.14666666666666667,0.6666666666666666
"(0.2, 0.3]",0.2,0.3,13.0,0.27388592856117105,0.46153846153846156
"(0.3, 0.4]",0.3,0.4,18.0,0.36359250116668335,0.6111111111111112
"(0.4, 0.5]",0.4,0.5,100.0,0.46050939669853735,0.42
"(0.5, 0.6]",0.5,0.6,109.0,0.5243494321593787,0.5412844036697247
"(0.6, 0.7]",0.6,0.7,9.0,0.64331745069361,0.3333333333333333
"(0.7, 0.8]",0.7,0.8,7.0,0.7667586705328225,0.2857142857142857
