bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.1, 0.2]",0.1,0.2,1.0,0.18447101028640703,0.0
"(0.3, 0.4]",0.3,0.4,1.0,0.39223678332544276,1.0
"(0.4, 0.5]",0.4,0.5,4669.0,0.4823248211659943,0.4868280145641465
"(0.5, 0.6]",0.5,0.6,855.0,0.5110450937654829,0.48771929824561405
"(0.7, 0.8]",0.7,0.8,1.0,0.790621750359558,1.0
"(0.8, 0.9]",0.8,0.9,2.0,0.8042373740535226,0.5
