sigma,prior_std,hidden_dim,features,mae,rmse,coverage_90,coverage_68,target_90,target_68,coverage_90_error,coverage_68_error
0.5,0.5,16,baseline_4,18.70304991750261,26.02682682214392,26.203208556149733,19.25133689839572,90.0,68.0,-63.79679144385027,-48.74866310160428
0.7,0.5,16,baseline_4,18.69571036430011,26.01916361684182,25.668449197860966,19.25133689839572,90.0,68.0,-64.33155080213903,-48.74866310160428
1.0,0.5,16,baseline_4,18.69409845715685,26.01367447685791,25.668449197860966,19.518716577540108,90.0,68.0,-64.33155080213903,-48.481283422459896
1.5,0.5,16,baseline_4,18.692247468075575,26.01197687546749,26.203208556149733,19.25133689839572,90.0,68.0,-63.79679144385027,-48.74866310160428
