player_id,stat_type,model_version,pred_yards_v1,pred_q05_v1,pred_q95_v1,actual_yards,n_games,pred_yards_v2_5,pred_q05_v2_5,pred_q95_v2_5,error_v1,error_v2_5,abs_error_v1,abs_error_v2_5
00-0023459,passing_yards,hierarchical_v1.0,239.54253494082525,220.4927908952894,255.26775145655844,442.3529411764706,17,484.278967692491,325.394439893751,718.959976326157,-202.81040623564536,41.926026516020386,202.81040623564536,41.926026516020386
00-0026158,passing_yards,hierarchical_v1.0,242.20464274747818,216.4860259296891,261.8414060340597,465.42857142857144,7,446.98778358766,302.110769465885,677.352549159673,-223.22392868109327,-18.44078784091147,223.22392868109327,18.44078784091147
00-0026498,passing_yards,hierarchical_v1.0,252.89186846609013,235.4967234037952,275.25419054723153,442.5882352941176,17,466.106341371825,313.432001608928,692.730940272444,-189.6963668280275,23.518106077707387,189.6963668280275,23.518106077707387
00-0027973,passing_yards,hierarchical_v1.0,198.55338380186888,185.05294993662048,218.88905428231186,329.6666666666667,6,358.591567111655,238.063068710757,534.100710371502,-131.1132828647978,28.92490044498834,131.1132828647978,28.92490044498834
00-0029263,passing_yards,hierarchical_v1.0,234.192400060795,213.44986911165245,253.5269172905541,437.8181818181818,11,423.139796833277,283.29214928068,624.430839235755,-203.62578175738682,-14.678384984904824,203.62578175738682,14.678384984904824
00-0029604,passing_yards,hierarchical_v1.0,254.94580674406254,239.98705874684293,274.4217070368322,467.73333333333335,15,449.583594105891,306.012918402791,655.52633284467,-212.7875265892708,-18.149739227442353,212.7875265892708,18.149739227442353
00-0030565,passing_yards,hierarchical_v1.0,226.65091172710228,209.29254288855327,252.08138708686755,495.11764705882354,17,487.520485187344,329.049955134033,726.300876886048,-268.4667353317212,-7.597161871479557,268.4667353317212,7.597161871479557
00-0031280,passing_yards,hierarchical_v1.0,243.514624434885,227.351891498252,261.22836853894603,390.0,11,373.510086183113,251.099894910938,555.12821637874,-146.485375565115,-16.489913816886997,146.485375565115,16.489913816886997
00-0031503,passing_yards,hierarchical_v1.0,209.83384431667017,189.23431327906545,230.42190544074344,519.875,8,497.819231066681,337.20346854801,741.725605426504,-310.04115568332986,-22.055768933318973,310.04115568332986,22.055768933318973
00-0033077,passing_yards,hierarchical_v1.0,270.74813565411097,246.77204111048138,288.6855403408128,439.55555555555554,9,464.289941688266,316.416814558482,692.707211791353,-168.80741990144458,24.734386132710483,168.80741990144458,24.734386132710483
00-0033106,passing_yards,hierarchical_v1.0,241.92917063739122,226.56548043819112,258.229829396818,531.0,17,456.194633015801,308.969286596268,666.686047951372,-289.0708293626088,-74.805366984199,289.0708293626088,74.805366984199
00-0033119,passing_yards,hierarchical_v1.0,195.98928708360117,179.58578416873007,214.6285801427739,236.28571428571428,7,287.29998409412,192.105790645544,429.129017299317,-40.29642720211311,51.01426980840574,40.29642720211311,51.01426980840574
00-0033537,passing_yards,hierarchical_v1.0,243.13868482826064,226.36324777448323,261.73878431806463,287.0,8,388.473841058452,263.791967942158,583.468909778263,-43.86131517173936,101.47384105845202,43.86131517173936,101.47384105845202
00-0033662,passing_yards,hierarchical_v1.0,195.12941400462907,175.37946538097975,215.37463497240105,363.6,10,373.716857722848,248.291241395159,563.456513867272,-168.47058599537095,10.116857722847953,168.47058599537095,10.116857722847953
00-0033873,passing_yards,hierarchical_v1.0,282.6999251694486,264.7698611034548,299.21009933722854,462.11764705882354,17,506.501317606749,340.26632614077,758.150613738918,-179.41772188937495,44.383670547925476,179.41772188937495,44.383670547925476
00-0034771,passing_yards,hierarchical_v1.0,218.58807006824847,187.85492699065935,247.6808444908302,373.75,8,389.977692668986,260.432692410502,585.009311518158,-155.16192993175153,16.22769266898598,155.16192993175153,16.22769266898598
00-0034796,passing_yards,hierarchical_v1.0,201.76123634536486,184.40842522148014,213.9794537717128,478.05882352941177,17,416.757899348524,278.736900196156,622.825364932379,-276.2975871840469,-61.30092418088776,276.2975871840469,61.30092418088776
00-0034855,passing_yards,hierarchical_v1.0,211.18404405581717,198.83016139634339,227.27596864631377,516.4117647058823,17,472.111139480657,317.043463852584,696.530560037306,-305.2277206500652,-44.3006252252253,305.2277206500652,44.3006252252253
00-0034857,passing_yards,hierarchical_v1.0,254.9639085389473,236.91181895988774,269.99326115453664,438.94117647058823,17,423.535342589633,285.272997086266,623.589496124226,-183.97726793164094,-15.405833880955242,183.97726793164094,15.405833880955242
00-0034869,passing_yards,hierarchical_v1.0,197.92793504020653,179.241489505297,213.16936700432714,498.3529411764706,17,416.510558696726,278.368039075928,624.206818088106,-300.4250061362641,-81.84238247974463,300.4250061362641,81.84238247974463
00-0035228,passing_yards,hierarchical_v1.0,226.19964629540362,213.94158276007863,243.10173055676253,438.8235294117647,17,424.256704674219,287.875372317917,629.484265043141,-212.62388311636107,-14.566824737545687,212.62388311636107,14.566824737545687
00-0035289,passing_yards,hierarchical_v1.0,226.78490200616045,204.98258001680432,246.57716818294543,366.0,11,385.549962285611,254.760108399566,579.229451450619,-139.21509799383955,19.549962285611002,139.21509799383955,19.549962285611002
